SchoolCode,SchoolName,SchoolType,Suburb,StateCode,Postcode,Longitude,Latitude,SchoolAddress,SchoolID
"3079","Somerton Public School","Primary School","Somerton","NSW","2340",150.641556,-30.938432,"Milkmaid St",4034
"3083","South West Rocks Public School","Primary School","South West Rocks","NSW","2431",153.039879,-30.891502,"Gregory Street",4038
"3089","Spring Hill Public School","Primary School","Spring Hill","NSW","2800",149.151294,-33.399574,"Seaton Street",4043
"3091","Spring Ridge Public School","Primary School","Spring Ridge","NSW","2343",150.254649,-31.392399,"Darby Rd",4044
"3093","Spring Terrace Public School","Primary School","Spring Terrace","NSW","2798",149.097369,-33.393976,"573 Forest Rd",4045
"3095","Springwood Public School","Primary School","Springwood","NSW","2777",150.573472,-33.704613,"Burns Rd",4046
"3103","Stanwell Park Public School","Primary School","Stanwell Park","NSW","2508",150.984536,-34.228715,"Stanwell Ave",4051
"3104","Warrawong Public School","Primary School","Warrawong","NSW","2502",150.877847,-34.481367,"127 Cowper Street",4052
"3109","Stockinbingal Public School","Primary School","Stockinbingal","NSW","2725",147.883065,-34.497611,"Britannia St",4054
"3110","Stockton Public School","Primary School","Stockton","NSW","2295",151.781095,-32.910956,"10 Clyde St",4056
"3112","Stokers Siding Public School","Primary School","Stokers Siding","NSW","2484",153.404371,-28.393823,"Old Pacific Hwy",4058
"3119","Stratford Public School","Primary School","Stratford","NSW","2422",151.93922,-32.116885,"Bucketts Way",4060
"3122","Stratheden Public School","Primary School","Stratheden","NSW","2470",152.937222,-28.755713,"710 Stratheden Rd",4061
"3123","Strathfield North Public School","Primary School","North Strathfield","NSW","2137",151.09204,-33.854531,"251 Concord Rd",4062
"3124","Strathfield South Public School","Primary School","Strathfield","NSW","2135",151.084702,-33.89078,"457 Liverpool Road",4063
"3125","Stroud Public School","Primary School","Stroud","NSW","2425",151.964239,-32.402533,"Erin St",4064
"3126","Stroud Road Public School","Primary School","Stroud Road","NSW","2415",151.932369,-32.347986,"Bucketts Way",4065
